"<a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">Abacus</a>"|"
A flat slab forming the uppermost member or division of the capital of a column.
"
"<a href=""https://en.wikipedia.org/wiki/Accolade_(architecture)"" title=""Accolade (architecture)"">Accolade</a>"|"
A sculptural embellishment of an arch.
"
"<a href=""https://en.wikipedia.org/wiki/Aisle"" title=""Aisle"">Aisle</a>"|"
Subsidiary space alongside the body of a building, separated from it by columns, piers, or posts.
"
"<a href=""https://en.wikipedia.org/wiki/Ante-choir"" title=""Ante-choir"">Ante-choir</a>"|"
The space enclosed in a church between the outer gate or railing of the <a href=""https://en.wikipedia.org/wiki/Rood_screen"" title=""Rood screen"">rood screen</a> and the door of the screen.
"
"<a href=""https://en.wikipedia.org/wiki/Apron_(architecture)"" title=""Apron (architecture)"">Apron</a>"|"
<dd class=""glossary"">1.&#160;&#160;raised panel below a window or wall monument or tablet.</dd>
<dd class=""glossary"">2.&#160;&#160;open portion of a marine terminal immediately adjacent to a vessel berth, used in the direct transfer of cargo between the vessel and the terminal.</dd>
<dd class=""glossary"">3.&#160;&#160;<a href=""https://en.wikipedia.org/wiki/Concrete"" title=""Concrete"">concrete</a> slab immediately outside a vehicular door or passageway used to limit the wear on asphalt paving due to repetitive turning movements or heavy loads.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Apse"" title=""Apse"">Apse</a>"|"
Vaulted semicircular or polygonal end of a chancel or chapel.  That portion of a church, usually Christian, beyond the ""crossing"" and opposite the nave.  In some churches, the choir is seated in this space.
"
"<a href=""https://en.wikipedia.org/wiki/Araeosystyle"" class=""mw-redirect"" title=""Araeosystyle"">Araeosystyle</a>"|"
An architectural term applied to a <a href=""https://en.wikipedia.org/wiki/Colonnade"" title=""Colonnade"">colonnade</a>, in which the <a href=""https://en.wikipedia.org/wiki/Intercolumniation"" title=""Intercolumniation"">intercolumniation</a> is alternately wide and narrow.
"
"<a href=""https://en.wikipedia.org/wiki/Arcade_(architecture)"" title=""Arcade (architecture)"">Arcade</a>"|"
Passage or walkway covered over by a succession of <a href=""https://en.wikipedia.org/wiki/Arch"" title=""Arch"">arches</a> or <a href=""https://en.wikipedia.org/wiki/Vault_(architecture)"" title=""Vault (architecture)"">vaults</a> supported by <a href=""https://en.wikipedia.org/wiki/Column"" title=""Column"">columns</a>.  Blind arcade or arcading: the same applied to the wall surface.
"
"<a href=""https://en.wikipedia.org/wiki/Arch"" title=""Arch"">Arch</a>"|"
A curved structure capable of <a href=""https://en.wikipedia.org/wiki/Span_(architecture)"" class=""mw-redirect"" title=""Span (architecture)"">spanning</a> a space while supporting significant weight.
"
"<a href=""https://en.wikipedia.org/wiki/Architrave"" title=""Architrave"">Architrave</a>"|"
Formalized lintel, the lowest member of the classical entablature. Also the molded frame of a door or window (often borrowing the profile of a classical architrave).
"
"Area or basement area"|"
In <a href=""https://en.wikipedia.org/wiki/Georgian_architecture"" title=""Georgian architecture"">Georgian architecture</a>, the small paved yard giving entry, via ""area steps"", to the basement floor at the front of a terraced house.
"
"<a href=""https://en.wikipedia.org/wiki/Arris"" title=""Arris"">Arris</a>"|"
Sharp edge where two surfaces meet at an angle such as the corner of a square column or shaft.
"
"<a href=""https://en.wikipedia.org/wiki/Arrowslit"" title=""Arrowslit"">Arrowslit</a>"|"
A thin vertical aperture in a fortification through which an archer can launch arrows.
"
"<a href=""https://en.wikipedia.org/wiki/Articulation_(architecture)"" title=""Articulation (architecture)"">Articulation</a>"|"
Articulation is the manner or method of jointing parts such that each part is clear and distinct in relation to the others, even though joined.
"
"<a href=""https://en.wikipedia.org/wiki/Ashlar"" title=""Ashlar"">Ashlar</a>"|"
Masonry of large blocks cut with even faces and square edges.
"
"<a href=""https://en.wikipedia.org/wiki/Atlas_(architecture)"" title=""Atlas (architecture)"">Atlas</a>"|"
A support sculpted in the form of a man, which may take the place of a column, a pier or a pilaster.
"
"<a href=""https://en.wikipedia.org/wiki/Atrium_(architecture)"" title=""Atrium (architecture)"">Atrium</a>"|"
(plural: atria) Inner court of a Roman house; in a multi-story building, a toplit covered court rising through all stories.
"
"<a href=""https://en.wikipedia.org/wiki/Attic"" title=""Attic"">Attic</a>"|"
Small top story within a roof above the uppermost ceiling. The story above the main <a href=""https://en.wikipedia.org/wiki/Entablature"" title=""Entablature"">entablature</a> of a classical <a href=""https://en.wikipedia.org/wiki/Fa%C3%A7ade"" class=""mw-redirect"" title=""Façade"">façade</a>.
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Bahut_(architecture)&amp;action=edit&amp;redlink=1"" class=""new"" title=""Bahut (architecture) (page does not exist)"">Bahut</a>"|"
A small parapet or attic wall bearing the weight of the roof of a cathedral or church.
"
"<a href=""https://en.wikipedia.org/wiki/Balconet"" title=""Balconet"">Balconet</a>"|"
A false balcony, or railing at the outer plane of a window.
"
"<a href=""https://en.wikipedia.org/wiki/Ball_flower"" title=""Ball flower"">Ball flower</a>"|"
An architectural ornament in the form of a ball inserted in the cup of a flower, which came into use in the latter part of the 13th, and was in great vogue in the early part of the 14th century.

<div class=""thumb tright""><div class=""thumbinner"" style=""width:222px;""><a href=""https://en.wikipedia.org/wiki/File:Orna138-Docken-Baluster.png"" class=""image""><img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Orna138-Docken-Baluster.png/220px-Orna138-Docken-Baluster.png"" decoding=""async"" width=""220"" height=""337"" class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Orna138-Docken-Baluster.png/330px-Orna138-Docken-Baluster.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/5/59/Orna138-Docken-Baluster.png/440px-Orna138-Docken-Baluster.png 2x"" data-file-width=""1302"" data-file-height=""1992"" /></a>  <div class=""thumbcaption""><div class=""magnify""><a href=""https://en.wikipedia.org/wiki/File:Orna138-Docken-Baluster.png"" class=""internal"" title=""Enlarge""></a></div>A page of fanciful balusters</div></div></div>"
"<a href=""https://en.wikipedia.org/wiki/Baluster"" title=""Baluster"">Baluster</a>"|"
A small moulded shaft, square or circular, in stone or wood, sometimes metal, supporting the coping of a parapet or the handrail of a staircase. A series of balusters supporting a <a href=""https://en.wikipedia.org/wiki/Handrail"" title=""Handrail"">handrail</a> or <a href=""https://en.wikipedia.org/wiki/Coping_(architecture)"" title=""Coping (architecture)"">coping</a> is called a <b>balustrade</b>.
"
